date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:54:14	102614/102614	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2008%20Dec%202015%2012:41:32%20GMT	http://responsiweb.com/themes/preview/ace/1.3.5/dist/js/jquery-ui.custom.min.js	D:/downloads/acenew/responsiweb.com/themes/preview/ace/1.3.5/dist/js/jquery-ui.custom.min.js	(from http://responsiweb.com/themes/preview/ace/1.3.5/)
10:54:14	1291/1291	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2008%20Dec%202015%2012:41:38%20GMT	http://responsiweb.com/themes/preview/ace/1.3.5/dist/js/jquery.ui.touch-punch.min.js	D:/downloads/acenew/responsiweb.com/themes/preview/ace/1.3.5/dist/js/jquery.ui.touch-punch.min.js	(from http://responsiweb.com/themes/preview/ace/1.3.5/)
10:54:14	4044/4044	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2008%20Dec%202015%2012:41:36%20GMT	http://responsiweb.com/themes/preview/ace/1.3.5/dist/js/jquery.easypiechart.min.js	D:/downloads/acenew/responsiweb.com/themes/preview/ace/1.3.5/dist/js/jquery.easypiechart.min.js	(from http://responsiweb.com/themes/preview/ace/1.3.5/)
10:54:16	42943/42943	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2008%20Dec%202015%2012:41:38%20GMT	http://responsiweb.com/themes/preview/ace/1.3.5/dist/js/jquery.sparkline.min.js	D:/downloads/acenew/responsiweb.com/themes/preview/ace/1.3.5/dist/js/jquery.sparkline.min.js	(from http://responsiweb.com/themes/preview/ace/1.3.5/)
10:54:16	36690/36690	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2008%20Dec%202015%2012:41:44%20GMT	http://responsiweb.com/themes/preview/ace/1.3.5/dist/js/flot/jquery.flot.min.js	D:/downloads/acenew/responsiweb.com/themes/preview/ace/1.3.5/dist/js/flot/jquery.flot.min.js	(from http://responsiweb.com/themes/preview/ace/1.3.5/)
10:54:16	84380/84380	---MC-	200	added ('OK')	text/javascript	date:Fri,%2016%20Oct%202015%2018:27:31%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/2.1.4/jquery.min.js	D:/downloads/acenew/ajax.googleapis.com/ajax/libs/jquery/2.1.4/jquery.min.js	(from http://responsiweb.com/themes/preview/ace/1.3.5/)
10:54:16	8101/8101	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2008%20Dec%202015%2012:41:44%20GMT	http://responsiweb.com/themes/preview/ace/1.3.5/dist/js/flot/jquery.flot.pie.min.js	D:/downloads/acenew/responsiweb.com/themes/preview/ace/1.3.5/dist/js/flot/jquery.flot.pie.min.js	(from http://responsiweb.com/themes/preview/ace/1.3.5/)
10:54:17	1972/1972	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2008%20Dec%202015%2012:41:44%20GMT	http://responsiweb.com/themes/preview/ace/1.3.5/dist/js/flot/jquery.flot.resize.min.js	D:/downloads/acenew/responsiweb.com/themes/preview/ace/1.3.5/dist/js/flot/jquery.flot.resize.min.js	(from http://responsiweb.com/themes/preview/ace/1.3.5/)
10:54:17	40985/40985	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2008%20Dec%202015%2012:41:28%20GMT	http://responsiweb.com/themes/preview/ace/1.3.5/dist/js/ace-elements.min.js	D:/downloads/acenew/responsiweb.com/themes/preview/ace/1.3.5/dist/js/ace-elements.min.js	(from http://responsiweb.com/themes/preview/ace/1.3.5/)
10:54:18	56080/56080	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2008%20Dec%202015%2012:41:28%20GMT	http://responsiweb.com/themes/preview/ace/1.3.5/dist/js/ace.min.js	D:/downloads/acenew/responsiweb.com/themes/preview/ace/1.3.5/dist/js/ace.min.js	(from http://responsiweb.com/themes/preview/ace/1.3.5/)
10:54:19	20127/20127	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2024%20Nov%202015%2019:37:04%20GMT	http://responsiweb.com/themes/preview/ace/1.3.5/dist/fonts/glyphicons-halflings-regular.eot	D:/downloads/acenew/responsiweb.com/themes/preview/ace/1.3.5/dist/fonts/glyphicons-halflings-regular.eot	(from http://responsiweb.com/themes/preview/ace/1.3.5/dist/css/bootstrap.min.css)
10:54:21	18028/18028	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2024%20Nov%202015%2019:37:04%20GMT	http://responsiweb.com/themes/preview/ace/1.3.5/dist/fonts/glyphicons-halflings-regular.woff2	D:/downloads/acenew/responsiweb.com/themes/preview/ace/1.3.5/dist/fonts/glyphicons-halflings-regular.woff2	(from http://responsiweb.com/themes/preview/ace/1.3.5/dist/css/bootstrap.min.css)
10:54:21	20127/20127	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2024%20Nov%202015%2019:37:04%20GMT	http://responsiweb.com/themes/preview/ace/1.3.5/dist/fonts/glyphicons-halflings-regular.eot?	D:/downloads/acenew/responsiweb.com/themes/preview/ace/1.3.5/dist/fonts/glyphicons-halflings-regulard41d.eot	(from http://responsiweb.com/themes/preview/ace/1.3.5/dist/css/bootstrap.min.css)
10:54:22	108738/108738	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2024%20Nov%202015%2019:37:04%20GMT	http://responsiweb.com/themes/preview/ace/1.3.5/dist/fonts/glyphicons-halflings-regular.svg	D:/downloads/acenew/responsiweb.com/themes/preview/ace/1.3.5/dist/fonts/glyphicons-halflings-regular.svg	(from http://responsiweb.com/themes/preview/ace/1.3.5/dist/css/bootstrap.min.css)
10:54:24	23424/23424	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2024%20Nov%202015%2019:37:04%20GMT	http://responsiweb.com/themes/preview/ace/1.3.5/dist/fonts/glyphicons-halflings-regular.woff	D:/downloads/acenew/responsiweb.com/themes/preview/ace/1.3.5/dist/fonts/glyphicons-halflings-regular.woff	(from http://responsiweb.com/themes/preview/ace/1.3.5/dist/css/bootstrap.min.css)
10:54:24	7080/7080	---M--	200	added ('OK')	image/jpeg	date:Sun,%2002%20Mar%202014%2014:00:34%20GMT	http://responsiweb.com/themes/preview/ace/1.3.5/dist/css/images/pattern.jpg	D:/downloads/acenew/responsiweb.com/themes/preview/ace/1.3.5/dist/css/images/pattern.jpg	(from http://responsiweb.com/themes/preview/ace/1.3.5/dist/css/ace.min.css)
10:54:26	8944/8944	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Apr%202013%2005:15:36%20GMT	http://responsiweb.com/themes/preview/ace/1.3.5/dist/images/gallery/thumb-4.jpg	D:/downloads/acenew/responsiweb.com/themes/preview/ace/1.3.5/dist/images/gallery/thumb-4.jpg	(from http://responsiweb.com/themes/preview/ace/1.3.5/inbox.html)
10:54:27	8811/8811	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Apr%202013%2005:15:34%20GMT	http://responsiweb.com/themes/preview/ace/1.3.5/dist/images/gallery/thumb-3.jpg	D:/downloads/acenew/responsiweb.com/themes/preview/ace/1.3.5/dist/images/gallery/thumb-3.jpg	(from http://responsiweb.com/themes/preview/ace/1.3.5/inbox.html)
10:54:27	45404/45404	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2024%20Nov%202015%2019:37:04%20GMT	http://responsiweb.com/themes/preview/ace/1.3.5/dist/fonts/glyphicons-halflings-regular.ttf	D:/downloads/acenew/responsiweb.com/themes/preview/ace/1.3.5/dist/fonts/glyphicons-halflings-regular.ttf	(from http://responsiweb.com/themes/preview/ace/1.3.5/dist/css/bootstrap.min.css)
10:54:28	9604/9604	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Apr%202013%2005:15:32%20GMT	http://responsiweb.com/themes/preview/ace/1.3.5/dist/images/gallery/thumb-2.jpg	D:/downloads/acenew/responsiweb.com/themes/preview/ace/1.3.5/dist/images/gallery/thumb-2.jpg	(from http://responsiweb.com/themes/preview/ace/1.3.5/inbox.html)
10:54:28	6513/6513	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Apr%202013%2005:15:30%20GMT	http://responsiweb.com/themes/preview/ace/1.3.5/dist/images/gallery/thumb-1.jpg	D:/downloads/acenew/responsiweb.com/themes/preview/ace/1.3.5/dist/images/gallery/thumb-1.jpg	(from http://responsiweb.com/themes/preview/ace/1.3.5/inbox.html)
10:54:28	3447/3447	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2008%20Dec%202015%2012:41:30%20GMT	http://responsiweb.com/themes/preview/ace/1.3.5/dist/js/bootstrap-tag.min.js	D:/downloads/acenew/responsiweb.com/themes/preview/ace/1.3.5/dist/js/bootstrap-tag.min.js	(from http://responsiweb.com/themes/preview/ace/1.3.5/inbox.html)
10:54:29	1963/1963	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2008%20Dec%202015%2012:41:36%20GMT	http://responsiweb.com/themes/preview/ace/1.3.5/dist/js/jquery.hotkeys.min.js	D:/downloads/acenew/responsiweb.com/themes/preview/ace/1.3.5/dist/js/jquery.hotkeys.min.js	(from http://responsiweb.com/themes/preview/ace/1.3.5/inbox.html)
10:54:29	3666/3666	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2008%20Dec%202015%2012:41:30%20GMT	http://responsiweb.com/themes/preview/ace/1.3.5/dist/js/bootstrap-wysiwyg.min.js	D:/downloads/acenew/responsiweb.com/themes/preview/ace/1.3.5/dist/js/bootstrap-wysiwyg.min.js	(from http://responsiweb.com/themes/preview/ace/1.3.5/inbox.html)
10:54:29	3042/3042	---MCZ	200	added ('OK')	text/css	date:Tue,%2008%20Dec%202015%2012:41:56%20GMT	http://responsiweb.com/themes/preview/ace/1.3.5/dist/css/jquery-ui.custom.min.css	D:/downloads/acenew/responsiweb.com/themes/preview/ace/1.3.5/dist/css/jquery-ui.custom.min.css	(from http://responsiweb.com/themes/preview/ace/1.3.5/profile.html)
